lemma;dict_pos;pos;by_hands_tags;frequency;R;D;Doc
микрочип;s;NOUN;NOUN;0,7;25;66;29
микроэлектроника;s;NOUN;NOUN;0,6;29;78;45
микроэлемент;s;NOUN;NOUN;2,2;57;86;138
миксбордер;s;NOUN;NOUN;0,9;23;72;54
миксер;s;NOUN;NOUN;0,6;33;83;43
микстура;s;NOUN;NOUN;1,2;50;85;77
милашка;s;NOUN;NOUN;0,5;29;79;36
милая;s;NOUN;NOUN;5,2;75;90;280
миледи;s;NOUN;NOUN;0,9;31;65;41
милитаризация;s;NOUN;NOUN;0,7;28;73;38
милитаризм;s;NOUN;NOUN;0,8;32;79;47
милитарист;s;NOUN;NOUN;0,4;23;77;27
милиционер;s;NOUN;NOUN;52,1;96;93;1444
милиция;s;NOUN;NOUN;89,9;99;95;2407
милка;s;NOUN;NOUN;1,4;30;62;42
миллениум;s;NOUN;NOUN;0,4;23;79;27
миллиард;s;NOUN;NOUN;43,9;99;90;1747
миллиардер;s;NOUN;NOUN;3,5;69;87;177
миллиграмм;s;NOUN;NOUN;0,9;37;80;47
миллилитр;s;NOUN;NOUN;1,0;32;72;45
миллиметр;s;NOUN;NOUN;6,7;97;84;329
миллион;s;NOUN;NOUN;150,4;100;93;4884
миллионер;s;NOUN;NOUN;10,0;93;87;436
миллионерша;s;NOUN;NOUN;0,7;31;79;44
милок;s;NOUN;NOUN;1,1;42;83;71
милорд;s;NOUN;NOUN;5,9;26;48;30
милосердие;s;NOUN;NOUN;11,0;96;87;546
милостыня;s;NOUN;NOUN;3,3;81;90;201
милость;s;NOUN;NOUN;20,6;100;90;959
милочка;s;NOUN;NOUN;3,0;63;79;122
милый;s;NOUN;NOUN;0,4;23;79;32
мильон;s;NOUN;NOUN;0,6;36;83;43
миля;s;NOUN;NOUN;9,2;93;90;349
миляга;s;NOUN;NOUN;1,5;17;18;18
мим;s;NOUN;NOUN;0,9;34;70;42
миманс;s;NOUN;NOUN;0,6;11;42;12
мимика;s;NOUN;NOUN;4,0;94;92;243
мимикрия;s;NOUN;NOUN;0,7;39;85;50
мимоза;s;NOUN;NOUN;0,9;41;83;55
мимолетность;s;NOUN;NOUN;0,4;28;82;31
мина;s;NOUN;NOUN;42,2;100;86;1134
минарет;s;NOUN;NOUN;1,2;37;75;58
мингрел;s;NOUN;NOUN;0,4;9;41;9
миндалина;s;NOUN;NOUN;0,9;25;59;31
миндаль;s;NOUN;NOUN;2,2;62;87;109
минер;s;NOUN;NOUN;0,9;28;73;32
минерал;s;NOUN;NOUN;9,2;80;68;250
минерализация;s;NOUN;NOUN;1,4;24;73;56
минералка;s;NOUN;NOUN;1,6;58;85;92
минералогия;s;NOUN;NOUN;0,8;28;58;33
минет;s;NOUN;NOUN;1,0;16;32;23
минея;s;NOUN;NOUN;1,0;7;27;13
миниатюра;s;NOUN;NOUN;6,3;84;79;279
миниатюризация;s;NOUN;NOUN;0,4;25;73;28
мини-бар;s;NOUN;NOUN;0,4;23;80;26
минивэн;s;NOUN;NOUN;0,7;24;73;32
мини-завод;s;NOUN;NOUN;1,2;22;58;34
минимализм;s;NOUN;NOUN;1,6;45;80;100
минимизация;s;NOUN;NOUN;3,1;49;81;201
минимум;s;NOUN;NOUN;51,3;100;93;3002
мини-пекарня;s;NOUN;NOUN;0,5;9;24;10
минирование;s;NOUN;NOUN;0,7;33;76;40
мини-рынок;s;NOUN;NOUN;0,4;11;63;13
министерство;s;NOUN;NOUN;102,8;100;91;4096
министерша;s;NOUN;NOUN;0,4;11;56;13
министр;s;NOUN;NOUN;154,1;100;90;4384
мини-футбол;s;NOUN;NOUN;0,7;30;74;45
мини-юбка;s;NOUN;NOUN;1,4;58;87;94
минога;s;NOUN;NOUN;0,5;19;74;23
миноискатель;s;NOUN;NOUN;0,4;21;77;27
миномет;s;NOUN;NOUN;5,4;71;82;162
минометчик;s;NOUN;NOUN;0,6;21;73;26
миноносец;s;NOUN;NOUN;1,1;30;76;42
минор;s;NOUN;NOUN;1,4;53;85;90
миноритарий;s;NOUN;NOUN;0,4;19;75;26
минтай;s;NOUN;NOUN;1,2;38;78;52
минус;s;NOUN;NOUN;16,7;100;93;1003
минута;s;NOUN;NOUN;344,2;100;95;5853
минутка;s;NOUN;NOUN;9,6;94;91;526
минуточка;s;NOUN;NOUN;5,4;77;89;320
миокард;s;NOUN;NOUN;1,2;45;84;72
мир;s;NOUN;NOUN;714,7;100;95;12334
мираж;s;NOUN;NOUN;6,8;92;90;321
мириада;s;NOUN;NOUN;1,3;61;87;86
миро;s;NOUN;NOUN;1,3;55;84;97
мировоззрение;s;NOUN;NOUN;11,1;94;90;543
мировосприятие;s;NOUN;NOUN;1,8;55;81;103
мироед;s;NOUN;NOUN;0,9;22;31;24
мироздание;s;NOUN;NOUN;7,7;94;90;378
